"comment_id","post_id","body","date_added","json_id"
"7","8","传递习氏翻墙救国精神, 行动起来吧！
没有梦想，堕落就会生根发芽！没有行动，国耻就会越来越严重。行动起来吧，废除辱习法规障碍、传递习氏翻墙救国正能量！","1492906813","9"
"8","1","伟大的习核心连续几年依法治国，各种丰功伟绩可能争议很大。但最没争议、最伟光正的事迹应当属于翻越网络柏林墙，不经意间似乎有点要统一虚拟主权的意思。但是法西斯重庆居然冒天下之大不韪，把习核心的翻墙救国精神污蔑为犯罪。是可忍，孰不可忍！各地军民紧密团结在以习近平为核心的党中央周围，跨越网络柏林墙，统一虚拟主权。能去北京的人们，去北京抗议。不能去北京的，就地奋起抗争。洗雪当代国耻、废除辱习法规！
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8 
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:7  ","1492936929","9"
"9","11","谢谢信息，资料太丰富了。这里虽然达不到“共产主义”gczy，但可以称为信息“共享主义”。很多专业的技巧知识，菜鸟新手暂时用不上，需要逐步前进。零网也需要深化改革，鼓励更多新手使用，让不懂外语的人们也能够轻松使用吧。","1493125067","9"
"1","8","上人了","1493632569","33"
"1","8","加油","1493594493","37"
"1","8","加油，行動。","1493572624","38"
"1","12","来了","1493620484","39"
"2","12","非常好
","1493621268","39"
"1","8","加油，有希望啦","1493549878","41"
"2","12","啊~~","1493555677","41"
"1","4","这个零封锁、零雾霾的新网络似乎是非常有利于鼓励亿万百姓紧跟着伟大的习近平领袖去翻墙，勇敢地跨越网络柏林墙，促进信息流畅，法治流畅，统一虚拟主权。","1492159013","5"
"2","4","是应该唤醒更多人们紧跟着伟大领袖习先生，跨越网络柏林墙，促进信息流畅，法治流畅，统一虚拟主权。","1492159565","5"
"3","4","不急。普通百姓不只是看不到高层的很多东西，而且墙内的大陆同胞们也看不到很多墙外的东西，所以习近平虽然敢跨越柏林墙，但不是凭他一个人就能够拆除柏林墙。统一虚拟主权不是一天之内就能够完成的，而是伴随着长期的努力和大众的参与，当有足够多的人们把辱习法规当成国耻的时候，也就是网络柏林墙寿终正寝的时候。这个过程，必然是伴随着量变积累，最终触发质变的飞跃。一步一步来吧。","1492314448","5"
"4","4","听起来有点怪异。It sounds queer.","1492341161","5"
"5","1","有不同看法的人，去零网上面讨论哦。天朝连习近平都敢封锁、侮辱，在天朝控制的空间里虽然很难讲理，但另外有一片零封锁的言论空间哦。","1492352300","5"
"6","1"," 以“抗美援朝”为主题的电影《我的战争》投资1.5亿，导演雄心勃勃，放言票房5亿打底，结果最终惨败，只有3500万（其中不排除部分观众是组织安排的）。你的战争，群众不看！放开信息管制，毛派们如果还有高度的自信，那真是名符其实的万岁了。 
泸州民众抵制被误导的军人 
https://proxy.th3nd.com/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/137 ","1492408270","5"
"7","7","(BLOB)","1492510944","5"
"8","7","(BLOB)","1492645430","5"
"9","8","以习氏翻墙爱国为支点，发起非暴力爱国运动，废除辱习法规，光明正大，让邪恶找不到镇压的借口。香港配合为最佳。争取让香港和大陆一起发起非暴力爱国运动。
既然香港人不搞“支那”论战了，运动的口号可以是支持习氏翻墙、反对辱习法规、统一虚拟主权。师出有名，顺应天理，是完全可以公开探讨的爱国运动。
零网，零封锁，广传播，请让更多人看到。","1492664339","5"
"10","1","(BLOB)","1492771605","5"
"11","7","国际刑警组织曾是纳粹工具， 相关视频另存后更好播放。
http://127.0.0.1:43110/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/142 
http://127.0.0.1:43110/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/139 
近期把郭大侠列为通缉犯的国际刑警组织，其光辉历史跟特色天朝一样伟光正，跟纳粹、契卡、克格勃之类的组织有密切关联。网友们有空时应该多使用零网。
(下载零网的工具， https://zeronet.io/ 可以更快打开页面）
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8 
零网，零封锁，广传播! 
支持习氏翻墙、废除辱习法规！
为了帮助习近平废除辱习法规，请网友们积极参与，免费使用零封锁的零网技术。 ","1492789089","5"
"1","1","亿万百姓跟着习核心，跨越柏林墙，拆除网络围墙，废除反华辱习的反动法规，是不可避免的历史潮流。
发布非暴力运动信息的人不是郭文贵的朋友，跟郭文贵不认识。只是从文化层面看，那么肮脏的信息雾霾，不拆除网络柏林墙，信息雾霾就不会减少。习核心的推特在辱习法规出台后，居然龟缩隐身了，这更加说明辱习法规的荒谬。有闲功夫的网友们，请帮忙转发。零封锁，广传播，让更多人看到。只要看到的人多了，废除辱习反华围墙的非暴力爱国运动自然会在很多地方同时爆发。运动爆发的具体时间由上帝决定，目前人们该做的就是，传递习氏翻墙爱国精神、废除辱习围墙！
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8  
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:7  ","1492760237","11"
"2","7","他们连习近平都敢公开封锁、侮辱，不拆除网络围墙，不会有中国梦！
零网，零封锁，广传播! 
非零网用户，可以给他们以bit开头的网址访问，比如：
泸州事件—非常给力的分析
https://bit.surf:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:4  
但是要访问带有视频内容的资料
https://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8 
就应该结合零网工具  https://zeronet.io/  可以流畅打开页面和视频。打开零网后，把http://127.0.0.1:43110/ ......  开头的整个链接复制粘贴到浏览器里面，就可以了。 
零网之所以那么吸引人，是因为它的特点真的能够促进毛泽东曾经设想的大鸣大放、大字报的大众民主，更因为没有人希望看到类似泸州事件、于欢案件那样的事情到处重复，没完没了。http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8  ","1492940336","11"
"1","8","大规模的运动都还没发起来，天朝的智囊团就搞了个乌龙球的馊主意，让习核心翻墙的光辉页面“煞斯崩掉”—Suspended。这正好说明重庆的辱习反华法规太反动了，居然让习核心翻墙的英勇举动呈现出半龟缩的状态。如此恶劣的辱习反华法规，已经成为当代的国耻。 废除辱习法规，洗雪当代国耻！ http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:7  ","1492523540","16"
"1","4","个别网友居然说传播这些信息没用。但是那么多信息遭到封锁屏蔽，本身说明传播事实是非常有用的。
传播的人多了，当然是有用的。他们整天宣传“为人民服务”，当足够多的声音汇聚成人民的声音的时候，他们就是故意装聋作哑，也装不下去了。虽然，请务必注意，他们不代表任何一个具体的公民，但是他们忌惮人民群体的声音。所以，传播的人越多，越有用。他们不怕任何一个公民的声音，他们甚至一边喊着理论自信，一边公然纵容重庆的辱习法规，但是他们仍然害怕越来越多的人们醒来，共同面对习氏梦的惨淡现实，而这也是为什么他们那么疯狂地封杀信息的原因。 最重要的是，现实表明，满清余孽专政已经到了强弩之末，随时可能崩溃，因为广大基层军民不想再当蚂蚁了...... ","1492157735","3"
"2","4","(BLOB)","1492271509","3"
"3","4","问题是，激烈的思维方式，不适合在网络上公开探讨，也不一定获得多数人认同。虽然民怨沸腾，主要还是探讨非暴力爱国运动。比较切实可行的方式是，顺着习氏正能量的理论自信，秉持比五毛党们更真诚的爱国情怀，让更多人看到辱习法规的荒谬，公开反对辱习法规，要求拆除网络柏林墙，废除重庆的辱习法规，促进虚拟主权统一。 这是光明正大的方式，是完全可以公开探讨交流的，即使上千万五毛党们看到这种信息，对于这种不是搞破坏，而是促进主权统一的积极努力，把业余间谍当成饭碗的五毛党们也找不到反对的理由。所以，当比较多的人们共同践行这种符合伟大的习氏正能量的思维方式时，最大的法治障碍 — 网络柏林墙和信息雾霾的问题有希望得到解决。","1492273282","3"
"4","8","要去除信息雾霾，就应该发起非暴力爱国运动、弘扬习氏翻墙救国正能量。运动爆发的具体时间由上帝决定，目前人们该做的就是，传递习氏翻墙爱国精神、废除辱习围墙！http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:1
零网，零封锁，广传播! ","1492782502","3"
"1","13","用zeronet软件登录 P2P 网络就可以回复 和 关注 这些博客  永远不用翻墙就可以看到 郭文贵的最新爆料","1493701812","43"
"1","4","(BLOB)","1492581539","15"
"2","7","亿万富豪蒙冤，大力爆料... (转！！）零封锁、广传播！
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8 
非暴力运动，支持习氏翻墙、废除辱习法规！
郭文贵VOA爆料，MP4格式，图像不清晰，但是声音很清晰。
https://bit.surf:43110/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/139 
https://bit.surf:43110/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/140 
零网只支持MP4格式的视频(相关文件是从其它格式转换过去的，图像不清晰，但声音清晰）。
清晰版的视频需要到Youtube找。这意味着大陆的网友需要翻墙才可以。
https://www.youtube.com/watch?v=9yqz9PURoPM  ","1492749232","15"
"3","8","伟大的习核心连续几年依法治国，各种丰功伟绩可能争议很大。但最没争议、最伟光正的事迹应当属于翻越网络柏林墙，不经意间似乎有点要统一虚拟主权的意思。但是法西斯重庆居然冒天下之大不韪，把习核心的翻墙救国精神污蔑为犯罪。是可忍，孰不可忍！各地军民应当紧密团结在以习近平为核心的党中央周围，跨越网络柏林墙，统一虚拟主权。能去北京的人们，去北京抗议。不能去北京的，就地奋起抗争。洗雪当代国耻、废除辱习法规！","1492933759","15"
"1","4","习近平身边有几个司马昭？ 
网友趣评：
你被皇帝施以宫刑，仍然矢志不渝、秉笔直书，那是司马迁之心； 如果你被皇帝主子疏远却还翘首盼望，做着帝师梦，那是司马光之心； 如果你说美国宪政民主不好，又喜欢去美国，甚至移民美国，那是司马南之心。 如果你要人民爱国，又不许国人谈民主自由法制，那一定是司马昭之心。
怪不得习近平经常说警惕这个阴谋家、那个阴谋家。在信息雾霾下，特务专政加上满清余孽蛮夷专制糟粕，已让很多官僚失常。中央有几百个大家族，就有几百个派系，各个派系相互倾轧那么激烈，已经让满清余孽体制形同强弩之末。随着文盲比例降低，广大基层军民觉醒， 促进信息流畅、法治流畅，并统一虚拟主权是个不可阻挡的历史大潮流。","1492162704","7"
"2","4","赵鑫像武林高手，怎么会摔死? 
从信息传播学的角度来说，传播这个问题，不是传播谣言，而是在自相矛盾的事实面前，传播对于事实的思考，尤其要认真思考的是，为何连习近平跨越网络柏林墙的伟大举动都会被重庆公然污蔑为犯罪，党中央那些人如果长期纵容辱习法规，纵容邪恶势力公开践踏虚拟主权、制造分裂，他们是谁的中央啊？ 最荒唐的反华辱习之邪恶势力，到底在哪里？
按照习氏正能量的自信理论，这方面不要思考太多，简单的做法就是，紧跟着伟大领袖习近平走，跨越网络柏林墙，让信息流畅、法治流畅，让虚拟主权早日统一！","1492272778","7"
"3","4","(BLOB)","1492330062","7"
"4","4","在零封锁的零网，可以流畅地传播事实真相，传播正当的思考，可以质疑为什么有人公然出台辱习法规，公然制造荒唐的辱习反华国耻。这并不是要说服谁，也不是兜售观点，而是提醒人们看到一个不可回避的历史潮流 — 随着文盲比例降低，满清余孽专政已经到了强弩之末，随时可能崩溃，因为广大基层军民不想再当蚂蚁了......  
要统一国家主权，就必然促进虚拟主权的统一；这就必然需要废除辱习法规。要让法治流畅，就必须让信息流畅，也需要废除辱习反华的荒谬法规。简单说一句，亿万百姓紧跟着习核心跨越网络柏林墙，公开要求废除辱习法规，而后才可能有中国梦。","1492350298","7"
"5","1","那个视频很有意思，
非暴力公民运动 
在中国，应该是非暴力爱国运动，不提倡推翻xxx，但是要公开要求拆除网络柏林墙，废除 辱习反华的法规。简单说一句，就是亿万百姓紧跟着习核心跨越网络柏林墙，公开要求废除辱习法规，而后才可能有中国梦。非暴力爱国运动，结合零网 — 零封锁的网络传播，是非常符合习氏正能量的爱国运动。  
https://proxy.th3nd.com/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:1 ","1492355772","7"
"6","7","重庆的辱习法规就那么吓人吗？居然把伟大的习核心英勇翻墙的丰功伟绩都吓得隐身起来了。堂堂大国领袖，跨越网络柏林墙本来就是伟大的爱国行为，居然被重庆诸侯吓得躲起来了。这真是岂有此理？！！！事实说明，网络柏林墙是信息时代的最大国耻，零网，零封锁，废除辱习法规，洗雪当代国耻！ ","1492507257","7"
"7","7","http://www.lzmtnews.org/details.php?id=RQE491492656950  
曾錚的文章非常好。发起一场大规模的运动已是大势所趋。重庆辱习法规刚出来，伟大的习核心之推特居然被煞斯崩掉(Suspended) https://bit.surf:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:7 以习氏翻墙爱国为支点，发起非暴力爱国运动，废除辱习法规，光明正大，让邪恶找不到镇压的借口。香港配合为最佳。争取让香港和大陆一起发起非暴力爱国运动。
既然香港人不搞“支那”论战了，运动的口号可以是支持习氏翻墙、反对辱习法规、统一虚拟主权。师出有名，顺应天理，是完全可以公开探讨的爱国运动。","1492663980","7"
"8","1","俄罗斯评论人士建议，最好的列宁遗体处理方式是，“把列宁遗体送给中国人”；把伟大的列宁迎接到天安门广场，让列伟人和毛伟人一起称兄道弟、喝茶聊天，让特色中国永垂不朽到千秋万代！更能让党国领袖和历史伟人团聚一堂！（转！）","1492935358","7"
"1","4","看看网友传的正能量视频吧：
https://proxy.th3nd.com/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/138 ","1492442571","13"
"1","13","试了一下，安卓手机安装后无法运行，笔记本使用正常","1493703740","45"
"1","13","注意：从郭文贵的推：https://twitter.com/KwokMiles/status/859270422310813696
进来的，都是使用bit.surf这个代理进来的，这个代理被封，你就看不了了。
#无需代理，只需3步，无需翻墙，看郭文贵的推。畅游去中心的的自由网络。

1，去[ZeroNet主页](https://zeronet.io/zh)，下载好开源绿色安装包，打开ZeroNet.exe，
2，然后点开[ZeroMe](http://127.0.0.1:43110/Me.ZeroNetwork.bit/)，
3，再点开，[就可以无需翻墙看郭文贵的推了。](http://127.0.0.1:43110/Me.ZeroNetwork.bit/?Profile/1ABFCaadiEa3bFNzN3RcCZSsviqMNTbz3m/17vKbxL13KnzGATstqawXSG2oiQygmdkcX/zeronet0@zeroid.bit)

#用ZeroNet的人越多，速度越快，就像用迅雷下黄片一个道理。","1493714430","49"
"1","13","(BLOB)","1493717630","27"
"1","13","> [tylerchen](#comment_1_1Debb3mq8QYBPGKUzbJsvGGsz82Myso2dk): 试了一下，安卓手机安装后无法运行，笔记本使用正常

目前要下载ZeroNet-x.x.x.x-debug.apk。ZeroNet-x.x.x.x--release-unsigned.apk这种版本未签名，安装不上去的。
无法运行有什么提示？可以反馈到APK专贴 http://127.0.0.1:43110/NewGFWTalk.bit/?Topic:59_13Z7XxTa7JuFat3KzzMWu3onwM6biLuurJ/ZeroNet+APK","1493711575","47"
"2","13","> [bishop](#comment_1_19DbcsQyB2YM8zQJCiyB8jPB7JxvuwnxYh): 即使公网页面bit.surf:43110 有时受到干扰

##ZeroNet其他公共代理列表见[ZeroWiki的专门条目](http://127.0.0.1:43110/138R53t3ZW7KDfSfxVpWUsMXgwUnsDNXLP/?Page:proxies)
目前托管在Google服务器GCE上的https://proxy.th3nd.com/ ([proxy2](https://proxy2.th3nd.com/) \ [proxy3](https://proxy3.th3nd.com/) \ [proxy4](https://proxy4.th3nd.com/) \ [proxy5](https://proxy5.th3nd.com/)) 系列速度最快","1493769963","47"
"1","9","补充一点：零网密钥（unique private key），如果是注册了零网用户，那么这个密钥代码就与零网用户名称绑在一起了，就不要在网络上面公布出来，没有注册过用户名的密钥，属于临时性的，可以随便处理。
","1493370085","23"
"2","12","近期零网用户迅速增加，4月底公网页面https://bit.surf:43110/ 短暂受到干扰，但很快恢复正常，而零网转换成本机https://127.0.0.1:43110/ 的网页一直都工作正常，这也说明了分布在世界各地成千上万的网络节点，让黑客的攻击能量发挥不出来。在飘忽不定、去中心化的服务器、云节点动态组合的零封锁网络面前，黑客们很难锁定攻击目标。请网友们再接再厉哦，用户越多，节点就会越多。在大封锁的严峻时局，让零封锁的网络不断发挥出习氏翻墙救国的正能量、突破封锁，废除反华辱习的网络柏林墙，有利于促进大中华虚拟主权的统一。http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:8 ","1493624216","23"
